id,firstname,lastname,fullname,battingstyle,bowlingstyle,country_id,country_name,current_or_retired,batting_hand,bowling_type,batting_position,formats_played,achievements,role
1,Virat,Kohli,Virat Kohli,Right-handed,,91,India,Current,,,Top-order,"Test, ODI, T20I","Former India captain, 70+ international centuries",Batsman
2,Rohit,Sharma,Rohit Sharma,Right-handed,,91,India,Current,,,opener,"Test, ODI, T20I","India captain, 3 ODI double centuries, IPL titles",Batsman
3,Joe,Root,Joe Root,Right-handed,,2,England,Current,,,Middle-order,"Test, ODI, T20I","Former England captain, 30+ Test centuries",Batsman
4,Kane,Williamson,Kane Williamson,Right-handed,,3,New Zealand,Current,,,Top-order,"Test, ODI, T20I","New Zealand captain, WTC Final winner 2021",Batsman
5,Steve,Smith,Steve Smith,Right-handed,,4,Australia,Current,,,Middle-order,"Test, ODI, T20I","Former Australia captain, No.1 Test batsman",Batsman
6,Babar,Azam,Babar Azam,Right-handed,,5,Pakistan,Current,,,opener,"Test, ODI, T20I","Pakistan captain, No.1 ODI batsman",Batsman
7,David,Warner,David Warner,Left-handed,,4,Australia,Current,,,opener,"Test, ODI, T20I","T20 World Cup winner, IPL Orange Cap winner",Batsman
8,Ben,Stokes,Ben Stokes,Left-handed,Right-arm fast-medium,2,England,Current,Left,Fast-medium,All-rounder,"Test, ODI, T20I","England Test captain, 2019 World Cup hero",All-rounder
9,Pat,Cummins,Pat Cummins,Right-handed,Right-arm fast,4,Australia,Current,Right,Fast,All-rounder,"Test, ODI, T20I","Australia captain, No.1 Test bowler",All-rounder
10,Jasprit,Bumrah,Jasprit Bumrah,,Right-arm fast,91,India,Current,,Fast,Bowler,"Test, ODI, T20I","No.1 ODI bowler, unique bowling action",Bowler
11,Kagiso,Rabada,Kagiso Rabada,,Right-arm fast,6,South Africa,Current,,Fast,Bowler,"Test, ODI, T20I","Leading wicket-taker, Purple Cap winner",Bowler
12,Quinton,de Kock,Quinton de Kock,Left-handed,,6,South Africa,retired,,,opener,"Test, ODI, T20I","Former SA captain, wicket-keeper batsman",Batsman
13,Jos,Buttler,Jos Buttler,Right-handed,,2,England,Current,,,Middle-order,"Test, ODI, T20I","England T20 captain, innovative wicket-keeper",Batsman
14,MS,Dhoni,Mahendra Singh Dhoni,Right-handed,,91,India,retired,,,Middle-order,"Test, ODI, T20I","2011 World Cup winner, Captain Cool",Batsman
15,AB,de Villiers,Abraham Benjamin de Villiers,Right-handed,,6,South Africa,retired,,,Middle-order,"Test, ODI, T20I","Mr. 360, fastest ODI centuries",Batsman
16,Chris,Gayle,Christopher Henry Gayle,Left-handed,,7,West Indies,retired,,,opener,"Test, ODI, T20I","Universe Boss, T20 records holder",Batsman
